match,match_string,match_number,team,opponent,system,player,number,position,total_distance,zone_1,zone_2,zone_3,zone_4,zone_5,high_speed_runs,sprints,top_speed,possession_build_width,possession_build_height,possession_build_distance,possession_progression_width,possession_progression_height,possession_progression_distance,possession_third_width,possession_third_height,possession_third_distance,defensive_high_width,defensive_high_height,defensive_high_distance,defensive_mid_width,defensive_mid_height,defensive_mid_distance,defensive_low_width,defensive_low_height,defensive_low_distance
Qatar 0 - 2 Ecuador,Ecuador_Qatar,1,Ecuador,Qatar,442,MENDEZ Jhegson,20,CM,9863.5,3241.1,4698.9,1376,475.4,72,137,43,29.2,56,37,24,56,33,36,41,37,54,39,37,49,40,25,37,41,26,21
Qatar 0 - 2 Ecuador,Ecuador_Qatar,1,Ecuador,Qatar,442,PLATA Gonzalo,19,WG,10314.7,3750.4,3871.1,1582.3,873.7,237.2,144,64,31.6,56,37,24,56,33,36,41,37,54,39,37,49,40,25,37,41,26,21
Qatar 0 - 2 Ecuador,Ecuador_Qatar,1,Ecuador,Qatar,442,PRECIADO Angelo,17,FB,9635.4,3573.8,4388,1011.7,448,213.9,90,42,32,56,37,24,56,33,36,41,37,54,39,37,49,40,25,37,41,26,21
Qatar 0 - 2 Ecuador,Ecuador_Qatar,1,Ecuador,Qatar,442,TORRES Felix,2,CD,9397.5,3705.4,4045.6,1002.7,469.9,172.9,99,44,33,56,37,24,56,33,36,41,37,54,39,37,49,40,25,37,41,26,21
England 1 - 2 France,England_France,59,England,France,433,BELLINGHAM Jude,22,CM,11787.4,3965.3,4369.6,1834.1,1295.4,323,167,87,31.4,54,40,21,55,33,41,43,36,54,40,35,49,42,25,36,38,24,18
Wales 0 - 3 England,England_Wales,33,England,Wales,433,BELLINGHAM Jude,22,CM,10828.3,3893.9,3979.4,1617.8,1012.4,323.8,150,72,31,58,40,21,55,33,41,43,35,55,41,36,46,40,28,38,31,25,14
Wales 0 - 3 England,England_Wales,33,England,Wales,433,FODEN Phil,20,WG,10586.4,3820.6,4119.2,1312.7,858.6,476.4,127,72,32.4,58,40,21,55,33,41,43,35,55,41,36,46,40,28,38,31,25,14
Wales 0 - 3 England,England_Wales,33,England,Wales,433,HENDERSON Jordan,8,CM,10713.1,3828.9,4212.4,1629.5,760.6,282.8,144,57,31,58,40,21,55,33,41,43,35,55,41,36,46,40,28,38,31,25,14
England 1 - 2 France,England_France,59,England,France,433,KANE Harry,9,FW,10473.9,4067,4876.6,886.1,528.9,115.2,83,38,30,54,40,21,55,33,41,43,36,54,40,35,49,42,25,36,38,24,18
England 3 - 0 Senegal,England_Senegal,51,England,Senegal,433,KANE Harry,9,FW,10804.3,3779.3,5145,1272.7,534.8,72.4,104,37,29.6,57,39,21,54,35,38,42,37,51,39,38,48,37,26,38,34,24,16
England 1 - 2 France,England_France,59,England,France,433,MAGUIRE Harry,6,CD,9723.5,4074.2,3981.8,1167.8,411.3,88.5,106,31,29.8,54,40,21,55,33,41,43,36,54,40,35,49,42,25,36,38,24,18
England 3 - 0 Senegal,England_Senegal,51,England,Senegal,433,MAGUIRE Harry,6,CD,9556.5,3823.6,4271.8,1086.6,330.7,44,109,31,29,57,39,21,54,35,38,42,37,51,39,38,48,37,26,38,34,24,16
Wales 0 - 3 England,England_Wales,33,England,Wales,433,MAGUIRE Harry,6,CD,9390.4,3805,4176.9,887.4,432,89.2,84,33,30.5,58,40,21,55,33,41,43,35,55,41,36,46,40,28,38,31,25,14
England 1 - 2 France,England_France,59,England,France,433,RICE Declan,4,CM,11635.1,3844.2,5474.3,1372.9,837.7,105.9,128,50,30.8,54,40,21,55,33,41,43,36,54,40,35,49,42,25,36,38,24,18
England 3 - 0 Senegal,England_Senegal,51,England,Senegal,433,RICE Declan,4,CM,12061.2,3115.4,5922,2150.5,730.9,142.3,179,62,31.2,57,39,21,54,35,38,42,37,51,39,38,48,37,26,38,34,24,16
England 1 - 2 France,England_France,59,England,France,433,SHAW Luke,3,FB,10758.4,4193.6,4349.6,1196.3,699.3,321.7,110,48,34.5,54,40,21,55,33,41,43,36,54,40,35,49,42,25,36,38,24,18
England 3 - 0 Senegal,England_Senegal,51,England,Senegal,433,SHAW Luke,3,FB,10462.5,3828.2,4446.6,1168.7,725.1,294,120,56,32.1,57,39,21,54,35,38,42,37,51,39,38,48,37,26,38,34,24,16
England 1 - 2 France,England_France,59,England,France,433,STONES John,5,CD,9752.5,3737.2,3830.8,1536,581.2,67.3,134,38,29.1,54,40,21,55,33,41,43,36,54,40,35,49,42,25,36,38,24,18
Wales 0 - 3 England,England_Wales,33,England,Wales,433,STONES John,5,CD,9239,3549.6,3965.4,1270.4,371.4,82.2,114,26,27.7,58,40,21,55,33,41,43,35,55,41,36,46,40,28,38,31,25,14
England 1 - 2 France,England_France,59,England,France,433,WALKER Kyle,2,FB,9632.1,4279.5,3428.1,1123.1,483.5,317.9,106,49,32,54,40,21,55,33,41,43,36,54,40,35,49,42,25,36,38,24,18
England 3 - 0 Senegal,England_Senegal,51,England,Senegal,433,WALKER Kyle,2,FB,9830.2,4073.6,4128.7,929.9,525.9,172,92,40,34.4,57,39,21,54,35,38,42,37,51,39,38,48,37,26,38,34,24,16
France 4 - 1 Australia,France_Australia,5,France,Australia,4231,GRIEZMANN Antoine,7,FW,11729.8,4445.6,4985.2,1799.4,385.9,113.8,143,37,31,54,40,23,57,30,45,47,32,58,41,37,48,39,28,39,37,32,18
France 2 - 1 Denmark,France_Denmark,23,France,Denmark,4231,GRIEZMANN Antoine,7,FW,10670.8,4222.5,4244.9,1491.8,573,138.7,121,43,29,54,39,20,57,31,41,46,34,56,37,36,50,38,25,36,36,22,18
France 3 - 1 Poland,France_Poland,52,France,Poland,4231,GRIEZMANN Antoine,7,FW,11257.2,4492.7,4352,1729.1,530.2,153.1,134,41,29.7,53,38,21,55,30,44,47,33,56,39,37,48,39,27,37,37,27,17
France 2 - 1 Denmark,France_Denmark,23,France,Denmark,4231,HERNANDEZ Theo,22,FB,9969.8,3975.9,3807.5,1128.6,560.3,496.5,113,55,33.7,54,39,20,57,31,41,46,34,56,37,36,50,38,25,36,36,22,18
France 3 - 1 Poland,France_Poland,52,France,Poland,4231,HERNANDEZ Theo,22,FB,9493.5,3713.8,3981.6,995.9,496.5,305.7,100,47,34.8,53,38,21,55,30,44,47,33,56,39,37,48,39,27,37,37,27,17
France 4 - 1 Australia,France_Australia,5,France,Australia,4231,KONATE Ibrahima,24,CD,9784.4,4318.8,3729.8,1055.7,574.3,105.7,110,45,31.1,54,40,23,57,30,45,47,32,58,41,37,48,39,28,39,37,32,18
France 2 - 1 Denmark,France_Denmark,23,France,Denmark,4231,KOUNDE Jules,5,FB,10858.2,3905.7,4653.8,1569,573.3,157.4,143,46,33,54,39,20,57,31,41,46,34,56,37,36,50,38,25,36,36,22,18
France 3 - 1 Poland,France_Poland,52,France,Poland,4231,KOUNDE Jules,5,FB,9845.9,3505.1,4416.9,1321.3,482.4,121.1,114,40,29.7,53,38,21,55,30,44,47,33,56,39,37,48,39,27,37,37,27,17
France 4 - 1 Australia,France_Australia,5,France,Australia,4231,MBAPPE Kylian,10,WG,8594.4,4240.5,2635.1,860.3,539.7,319.7,91,49,34.7,54,40,23,57,30,45,47,32,58,41,37,48,39,28,39,37,32,18
France 2 - 1 Denmark,France_Denmark,23,France,Denmark,4231,MBAPPE Kylian,10,WG,8106.7,4260.9,2185.6,845.5,422.4,393.2,77,44,35.2,54,39,20,57,31,41,46,34,56,37,36,50,38,25,36,36,22,18
France 3 - 1 Poland,France_Poland,52,France,Poland,4231,MBAPPE Kylian,10,WG,7758,4289.4,2007,640.8,364.6,455.4,64,43,35.3,53,38,21,55,30,44,47,33,56,39,37,48,39,27,37,37,27,17
France 4 - 1 Australia,France_Australia,5,France,Australia,4231,RABIOT Adrien,14,CM,12133.6,4110.9,5656.7,1515.5,656.4,192.9,142,53,29.3,54,40,23,57,30,45,47,32,58,41,37,48,39,28,39,37,32,18
France 2 - 1 Denmark,France_Denmark,23,France,Denmark,4231,RABIOT Adrien,14,CM,11686.7,4140.6,4781,1733.1,818.1,215,146,64,33.4,54,39,20,57,31,41,46,34,56,37,36,50,38,25,36,36,22,18
France 3 - 1 Poland,France_Poland,52,France,Poland,4231,RABIOT Adrien,14,CM,11003.7,4271.6,4380.6,1417.3,680,254.2,127,57,34.2,53,38,21,55,30,44,47,33,56,39,37,48,39,27,37,37,27,17
France 2 - 1 Denmark,France_Denmark,23,France,Denmark,4231,TCHOUAMENI Aurelien,8,CM,11583.3,3815.5,5161.5,1969.2,528.2,108.9,168,35,32.9,54,39,20,57,31,41,46,34,56,37,36,50,38,25,36,36,22,18
France 4 - 1 Australia,France_Australia,5,France,Australia,4231,UPAMECANO Dayot,18,CD,11127.2,4113.7,5167.5,1119.4,594.2,132.4,112,50,31.7,54,40,23,57,30,45,47,32,58,41,37,48,39,28,39,37,32,18
France 2 - 1 Denmark,France_Denmark,23,France,Denmark,4231,UPAMECANO Dayot,18,CD,10111.8,3990.1,4241.9,1193.2,384.2,302.3,125,49,34.3,54,39,20,57,31,41,46,34,56,37,36,50,38,25,36,36,22,18
France 3 - 1 Poland,France_Poland,52,France,Poland,4231,UPAMECANO Dayot,18,CD,10138.2,4132.3,4496.3,1057.4,409.6,42.6,91,36,32.1,53,38,21,55,30,44,47,33,56,39,37,48,39,27,37,37,27,17
France 3 - 1 Poland,France_Poland,52,France,Poland,4231,VARANE Raphael,4,CD,9898.1,4102.8,4516.5,979.9,242.5,56.4,82,20,28.2,53,38,21,55,30,44,47,33,56,39,37,48,39,27,37,37,27,17
Costa Rica 2 - 4 Germany,Germany_Costa Rica,44,Germany,Costa Rica,4231,GNABRY Serge,10,WG,10841.4,3823.7,4220.5,1733.5,660.2,403.3,151,59,32.1,48,40,21,52,29,47,43,33,57,38,33,49,38,27,39,34,32,14
Germany 1 - 2 Japan,Germany_Japan,11,Germany,Japan,4231,GNABRY Serge,10,WG,9668,3558.8,3830.4,1202.7,729.9,346.1,120,58,31.9,59,40,21,56,32,43,43,34,57,40,37,49,37,27,39,35,29,16
Spain 1 - 1 Germany,Germany_Spain,28,Germany,Spain,4231,GORETZKA Leon,8,CM,11513.9,3816.9,4853.1,1712.1,831.3,299.4,144,63,32.2,56,39,17,50,29,42,42,34,54,43,37,50,40,24,41,35,22,17
Costa Rica 2 - 4 Germany,Germany_Costa Rica,44,Germany,Costa Rica,4231,KIMMICH Joshua,6,FB,12698.3,3304.1,6807.6,1804.4,699.7,82.5,156,54,29.3,48,40,21,52,29,47,43,33,57,38,33,49,38,27,39,34,32,14
Germany 1 - 2 Japan,Germany_Japan,11,Germany,Japan,4231,KIMMICH Joshua,6,CM,13193,3347.1,6998.9,2117.5,576.5,153,172,40,30.9,59,40,21,56,32,43,43,34,57,40,37,49,37,27,39,35,29,16
