match,match_string,match_number,team,opponent,system,player,number,position,total_distance,zone_1,zone_2,zone_3,zone_4,zone_5,high_speed_runs,sprints,top_speed,possession_build_width,possession_build_height,possession_build_distance,possession_progression_width,possession_progression_height,possession_progression_distance,possession_third_width,possession_third_height,possession_third_distance,defensive_high_width,defensive_high_height,defensive_high_distance,defensive_mid_width,defensive_mid_height,defensive_mid_distance,defensive_low_width,defensive_low_height,defensive_low_distance
Korea Republic 2 - 3 Ghana,Korea Republic_Ghana,30,Korea Republic,Ghana,4231,CHO Guesung,NA,FW,11000,3723.8,4815,1469.7,785.5,206.8,140,66,31.1,54,41,20,54,35,42,45,37,55,36,36,47,36,25,39,33,25,18
Korea Republic 2 - 3 Ghana,Korea Republic_Ghana,30,Korea Republic,Ghana,4231,HWANG Inbeom,6,CM,11901.6,2979,6057.9,2059,646.3,159.5,159,41,30.3,54,41,20,54,35,42,45,37,55,36,36,47,36,25,39,33,25,18
Uruguay 0 - 0 Korea Republic,Korea Republic_Uruguay,14,Korea Republic,Uruguay,4231,HWANG Inbeom,6,CM,11753,2904.2,6198.5,1687.7,708.7,253.9,146,52,31.4,55,42,17,55,34,42,43,38,52,40,36,49,39,24,37,35,23,19
Uruguay 0 - 0 Korea Republic,Korea Republic_Uruguay,14,Korea Republic,Uruguay,4231,JUNG Wooyoung,5,CM,10626.7,3772.5,4377.1,1670.5,578.1,229.5,144,36,30.1,55,42,17,55,34,42,43,38,52,40,36,49,39,24,37,35,23,19
Korea Republic 2 - 3 Ghana,Korea Republic_Ghana,30,Korea Republic,Ghana,4231,KIM Jinsu,3,FB,10275.7,3832.8,4183.2,1406.7,534.3,317.5,142,51,32.3,54,41,20,54,35,42,45,37,55,36,36,47,36,25,39,33,25,18
Uruguay 0 - 0 Korea Republic,Korea Republic_Uruguay,14,Korea Republic,Uruguay,4231,KIM Jinsu,3,FB,10007.8,4040.1,3500.7,1300,759.6,407.3,120,56,30.8,55,42,17,55,34,42,43,38,52,40,36,49,39,24,37,35,23,19
Korea Republic 2 - 3 Ghana,Korea Republic_Ghana,30,Korea Republic,Ghana,4231,KIM Minjae,4,CD,8638.9,3551.4,3297.5,999.5,470,320.5,91,39,33.6,54,41,20,54,35,42,45,37,55,36,36,47,36,25,39,33,25,18
Uruguay 0 - 0 Korea Republic,Korea Republic_Uruguay,14,Korea Republic,Uruguay,4231,KIM Minjae,4,CD,9070.5,3760.6,3525.7,1043.1,477.1,264,98,40,32.1,55,42,17,55,34,42,43,38,52,40,36,49,39,24,37,35,23,19
Korea Republic 2 - 3 Ghana,Korea Republic_Ghana,30,Korea Republic,Ghana,4231,KIM Moonhwan,15,FB,10632.9,3666.2,4263.8,1523.7,795.3,382.8,143,70,30.7,54,41,20,54,35,42,45,37,55,36,36,47,36,25,39,33,25,18
Uruguay 0 - 0 Korea Republic,Korea Republic_Uruguay,14,Korea Republic,Uruguay,4231,KIM Moonhwan,15,FB,10736.8,3816.9,4510.5,1344.3,699,366.1,131,58,32.3,55,42,17,55,34,42,43,38,52,40,36,49,39,24,37,35,23,19
Korea Republic 2 - 3 Ghana,Korea Republic_Ghana,30,Korea Republic,Ghana,4231,KIM Younggwon,19,CD,9220.4,4305.9,3360.8,1017,441.7,95,103,37,29.3,54,41,20,54,35,42,45,37,55,36,36,47,36,25,39,33,25,18
Uruguay 0 - 0 Korea Republic,Korea Republic_Uruguay,14,Korea Republic,Uruguay,4231,KIM Younggwon,19,CD,8678,4069.1,3118.9,916.4,391.4,182.2,88,30,31.3,55,42,17,55,34,42,43,38,52,40,36,49,39,24,37,35,23,19
Korea Republic 2 - 3 Ghana,Korea Republic_Ghana,30,Korea Republic,Ghana,4231,SON Heungmin,7,WG,9815.4,3902.6,3968.4,1029.6,608.6,307.2,103,45,32.3,54,41,20,54,35,42,45,37,55,36,36,47,36,25,39,33,25,18
Uruguay 0 - 0 Korea Republic,Korea Republic_Uruguay,14,Korea Republic,Uruguay,4231,SON Heungmin,7,WG,10137.2,3844,4342.8,1164.8,553.5,233.2,114,55,33,55,42,17,55,34,42,43,38,52,40,36,49,39,24,37,35,23,19
Saudi Arabia 1 - 2 Mexico,Mexico_Saudi Arabia,40,Mexico,Saudi Arabia,4231,CHAVEZ Luis,24,CM,10732.4,3652.2,4918.7,1419.9,619.3,121.3,120,46,31.9,54,39,22,54,33,40,43,38,52,40,39,48,40,31,37,35,31,16
Saudi Arabia 1 - 2 Mexico,Mexico_Saudi Arabia,40,Mexico,Saudi Arabia,4231,GALLARDO Jesus,23,FB,11070.5,4174.7,4577.7,1130.3,766.1,421.8,99,59,32.3,54,39,22,54,33,40,43,38,52,40,39,48,40,31,37,35,31,16
Saudi Arabia 1 - 2 Mexico,Mexico_Saudi Arabia,40,Mexico,Saudi Arabia,4231,LOZANO Hirving,22,WG,9188.2,4573,2615,990.5,572.4,437.4,92,57,34.3,54,39,22,54,33,40,43,38,52,40,39,48,40,31,37,35,31,16
Saudi Arabia 1 - 2 Mexico,Mexico_Saudi Arabia,40,Mexico,Saudi Arabia,4231,MONTES Cesar,3,CD,9908.4,3707.7,4658,1113.7,329,100.1,103,33,29,54,39,22,54,33,40,43,38,52,40,39,48,40,31,37,35,31,16
Saudi Arabia 1 - 2 Mexico,Mexico_Saudi Arabia,40,Mexico,Saudi Arabia,4231,MORENO Hector,15,CD,9365.6,3713.5,4370.9,978.7,286.6,16.9,93,27,28.2,54,39,22,54,33,40,43,38,52,40,39,48,40,31,37,35,31,16
Belgium 0 - 2 Morocco,Morocco_Belgium,26,Morocco,Belgium,433,AGUERD Nayef,5,CD,9618.5,4116.7,3921.5,954.2,465.5,160.6,103,41,33.5,57,42,15,57,36,36,45,39,50,41,36,48,41,23,38,37,22,20
Canada 1 - 2 Morocco,Morocco_Canada,42,Morocco,Canada,433,AGUERD Nayef,5,CD,10028.1,3894.9,4334.1,1147.2,377.1,274.8,110,32,32,57,41,17,56,37,34,41,38,52,38,38,44,41,24,37,38,19,21
Morocco 0 - 0 Croatia,Morocco_Croatia,12,Morocco,Croatia,433,AGUERD Nayef,5,CD,9529.1,3915.5,3911.7,1081.6,427.9,192.5,108,39,34.9,54,43,17,57,34,39,43,37,53,40,36,48,40,24,37,37,24,19
Morocco 0 - 0 Croatia,Morocco_Croatia,12,Morocco,Croatia,433,AMALLAH Selim,15,CM,10996.7,3175.8,5397.2,1570.3,702.7,150.7,138,52,32.2,54,43,17,57,34,39,43,37,53,40,36,48,40,24,37,37,24,19
Belgium 0 - 2 Morocco,Morocco_Belgium,26,Morocco,Belgium,433,AMRABAT Sofyan,4,CM,11215,3506.9,5397.8,1495,602.2,214.2,132,46,32.6,57,42,15,57,36,36,45,39,50,41,36,48,41,23,38,37,22,20
Canada 1 - 2 Morocco,Morocco_Canada,42,Morocco,Canada,433,AMRABAT Sofyan,4,CM,11242.2,3585.1,5118.6,1598.6,720.6,221.5,140,59,31.7,57,41,17,56,37,34,41,38,52,38,38,44,41,24,37,38,19,21
Morocco 0 - 0 Croatia,Morocco_Croatia,12,Morocco,Croatia,433,AMRABAT Sofyan,4,CM,10975.8,3091.9,5680,1533.3,627.8,43.9,149,55,28.5,54,43,17,57,34,39,43,37,53,40,36,48,40,24,37,37,24,19
Canada 1 - 2 Morocco,Morocco_Canada,42,Morocco,Canada,433,EN-NESYRI Youssef,19,FW,11061.9,3463.5,4663.7,1383.8,953.5,597.3,127,81,33.2,57,41,17,56,37,34,41,38,52,38,38,44,41,24,37,38,19,21
Morocco 0 - 0 Croatia,Morocco_Croatia,12,Morocco,Croatia,433,HAKIMI Achraf,2,FB,9307.8,3531.4,3887.9,1102,463.5,323.9,98,46,35.3,54,43,17,57,34,39,43,37,53,40,36,48,40,24,37,37,24,19
Belgium 0 - 2 Morocco,Morocco_Belgium,26,Morocco,Belgium,433,MAZRAOUI Noussair,3,FB,10293.6,3548.2,4885.3,899.7,709.2,251.2,91,54,33.5,57,42,15,57,36,36,45,39,50,41,36,48,41,23,38,37,22,20
Canada 1 - 2 Morocco,Morocco_Canada,42,Morocco,Canada,433,MAZRAOUI Noussair,3,FB,10048.5,3802.4,4273.6,1077.2,573.8,321.6,108,47,31.6,57,41,17,56,37,34,41,38,52,38,38,44,41,24,37,38,19,21
Belgium 0 - 2 Morocco,Morocco_Belgium,26,Morocco,Belgium,433,SAISS Romain,6,CD,9496.8,4007.6,3916.5,935.4,447.3,189.9,91,40,31.9,57,42,15,57,36,36,45,39,50,41,36,48,41,23,38,37,22,20
Canada 1 - 2 Morocco,Morocco_Canada,42,Morocco,Canada,433,SAISS Romain,6,CD,9814,3817.6,4316.2,1120.8,436.7,122.7,94,38,31.1,57,41,17,56,37,34,41,38,52,38,38,44,41,24,37,38,19,21
Morocco 0 - 0 Croatia,Morocco_Croatia,12,Morocco,Croatia,433,SAISS Romain,6,CD,9148.2,3687.7,4023.4,897.4,370.5,169.2,85,35,31,54,43,17,57,34,39,43,37,53,40,36,48,40,24,37,37,24,19
Belgium 0 - 2 Morocco,Morocco_Belgium,26,Morocco,Belgium,433,ZIYECH Hakim,7,WG,9703.2,3759,3280.7,1431.2,860.7,371.6,126,62,31.3,57,42,15,57,36,36,45,39,50,41,36,48,41,23,38,37,22,20
Morocco 0 - 0 Croatia,Morocco_Croatia,12,Morocco,Croatia,433,ZIYECH Hakim,7,WG,9886.1,3813.1,3369.2,1735,788.9,179.9,144,62,28.5,54,43,17,57,34,39,43,37,53,40,36,48,40,24,37,37,24,19
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,AKE Nathan,5,CD,13272.3,5050.1,6113.2,1363.1,568.1,179.2,125,49,31,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Senegal 0 - 2 Netherlands,Netherlands_Senegal,2,Netherlands,Senegal,343,AKE Nathan,5,CD,9723.1,3413.8,4637.9,1177.5,351,142.9,107,31,31.7,55,40,20,58,34,41,41,35,55,42,38,47,43,28,38,33,28,14
Netherlands 3 - 1 USA,Netherlands_USA,49,Netherlands,USA,343,AKE Nathan,5,CD,9931.8,3151.4,4853.7,1266.3,503.5,155.9,102,42,31.3,55,40,17,57,34,38,37,40,48,40,39,49,42,26,37,35,24,18
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,BERGHUIS Steven,11,CM,9209.8,3435.3,3358.8,1580.4,615.2,219.2,128,49,30.8,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Senegal 0 - 2 Netherlands,Netherlands_Senegal,2,Netherlands,Senegal,343,BLIND Daley,17,FB,11202.6,3522.1,4621.1,1892.1,973.5,193.8,168,59,29,55,40,20,58,34,41,41,35,55,42,38,47,43,28,38,33,28,14
Netherlands 3 - 1 USA,Netherlands_USA,49,Netherlands,USA,343,BLIND Daley,17,FB,11278.8,3365.6,4935.6,1973.8,791.8,210.9,148,52,28.5,55,40,17,57,34,38,37,40,48,40,39,49,42,26,37,35,24,18
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,DE JONG Frenkie,21,CM,15337.8,4800.7,7326.9,2250.1,759.2,200.9,185,62,32.6,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Senegal 0 - 2 Netherlands,Netherlands_Senegal,2,Netherlands,Senegal,343,DE JONG Frenkie,21,CM,11421.1,3864.9,4867.7,1774.8,670.4,243.3,135,50,30.7,55,40,20,58,34,41,41,35,55,42,38,47,43,28,38,33,28,14
Netherlands 3 - 1 USA,Netherlands_USA,49,Netherlands,USA,343,DE JONG Frenkie,21,CM,12012,3370.6,5871.4,1990.4,659.5,120.1,152,51,29.4,55,40,17,57,34,38,37,40,48,40,39,49,42,26,37,35,24,18
Senegal 0 - 2 Netherlands,Netherlands_Senegal,2,Netherlands,Senegal,343,DE LIGT Matthijs,3,CD,10210.1,3688.9,4643.5,1289.5,411.5,176.6,108,32,32.7,55,40,20,58,34,41,41,35,55,42,38,47,43,28,38,33,28,14
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,DUMFRIES Denzel,22,FB,13874.9,5491.7,5402.9,1802.3,822.8,356.6,162,72,33.5,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Senegal 0 - 2 Netherlands,Netherlands_Senegal,2,Netherlands,Senegal,343,DUMFRIES Denzel,22,FB,10415.2,3705.7,3876.5,1685.2,860.3,288.5,155,60,31.1,55,40,20,58,34,41,41,35,55,42,38,47,43,28,38,33,28,14
Netherlands 3 - 1 USA,Netherlands_USA,49,Netherlands,USA,343,DUMFRIES Denzel,22,FB,11071.8,3754.4,4417.6,1574.4,813.8,511.5,145,61,32.3,55,40,17,57,34,38,37,40,48,40,39,49,42,26,37,35,24,18
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,GAKPO Cody,8,FW,13378.6,4617,5917.4,2006.8,610.1,227.4,167,53,30.1,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Senegal 0 - 2 Netherlands,Netherlands_Senegal,2,Netherlands,Senegal,343,GAKPO Cody,8,FW,10707.9,3543.2,4660.1,1493.7,765.6,246.3,126,52,32.8,55,40,20,58,34,41,41,35,55,42,38,47,43,28,38,33,28,14
Netherlands 3 - 1 USA,Netherlands_USA,49,Netherlands,USA,343,GAKPO Cody,8,FW,10937.3,3626.8,4805.8,1578.3,610.3,316.1,135,42,33.7,55,40,17,57,34,38,37,40,48,40,39,49,42,26,37,35,24,18
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,KOOPMEINERS Teun,20,CM,9189.5,2908.5,4229,1466.7,522,64.3,133,38,29.7,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,TIMBER Jurrien,2,CD,11915.1,5115.1,4979.3,965.1,689.9,165.6,103,52,29.9,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Netherlands 3 - 1 USA,Netherlands_USA,49,Netherlands,USA,343,TIMBER Jurrien,2,CD,9718.6,3522,4240.2,1252.7,512.2,191.5,117,49,30.9,55,40,17,57,34,38,37,40,48,40,39,49,42,26,37,35,24,18
Netherlands 2 - 2 Argentina,Netherlands_Argentina,57,Netherlands,Argentina,343,VAN DIJK Virgil,4,CD,11727.5,6046.7,3966.2,1258.4,331.9,124.3,120,32,31.5,57,39,21,58,34,39,42,37,53,43,37,47,43,27,36,36,23,17
Senegal 0 - 2 Netherlands,Netherlands_Senegal,2,Netherlands,Senegal,343,VAN DIJK Virgil,4,CD,8886.1,4232.5,3143.9,937.5,416.8,155.5,91,29,32.8,55,40,20,58,34,41,41,35,55,42,38,47,43,28,38,33,28,14
Netherlands 3 - 1 USA,Netherlands_USA,49,Netherlands,USA,343,VAN DIJK Virgil,4,CD,9199.5,3924.5,3569.4,1131.5,347.7,226.3,108,34,32.3,55,40,17,57,34,38,37,40,48,40,39,49,42,26,37,35,24,18
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,BERESZYNSKI Bartosz,18,FB,10867.6,4304.6,4534,1077,662.9,288,100,50,32.1,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,BIELIK Krystian,6,CM,11402.5,3632.8,5258.8,1922.5,580.4,8,153,33,26.2,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 0 - 2 Argentina,Poland_Argentina,39,Poland,Argentina,442,CASH Matty,2,FB,9744.1,4085.7,4141.3,722,519.4,275.8,72,47,33.8,44,38,22,52,36,33,42,33,49,42,33,44,37,26,35,32,24,20
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,CASH Matty,2,FB,10707.3,3981,4334.3,1312.7,764.5,313.7,113,59,32.5,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,FRANKOWSKI Przemyslaw,24,WG,11825.1,4526.7,4351.6,1637.8,786.4,522.7,145,59,33.2,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 0 - 2 Argentina,Poland_Argentina,39,Poland,Argentina,442,GLIK Kamil,15,CD,8768,4219.2,3755.3,544.5,234.1,14.9,52,21,29.2,44,38,22,52,36,33,42,33,49,42,33,44,37,26,35,32,24,20
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,GLIK Kamil,15,CD,9133,4197.5,3657.8,1022,205.5,51.1,82,13,27.2,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 0 - 2 Argentina,Poland_Argentina,39,Poland,Argentina,442,KIWIOR Jakub,14,CD,9329.2,3639.3,4469.6,824.7,263.1,132.5,76,24,32.5,44,38,22,52,36,33,42,33,49,42,33,44,37,26,35,32,24,20
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,KIWIOR Jakub,14,CD,9587.9,3501.5,4555.2,939.6,439.1,151.5,78,34,29.5,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,KRYCHOWIAK Grzegorz,10,CM,10632.7,4249.9,4086.2,1447.1,651.8,197.8,127,49,32,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 0 - 2 Argentina,Poland_Argentina,39,Poland,Argentina,442,LEWANDOWSKI Robert,9,FW,10457.8,4829.4,4282.5,930.7,331.5,83.7,86,24,31.3,44,38,22,52,36,33,42,33,49,42,33,44,37,26,35,32,24,20
Poland 2 - 0 Saudi Arabia,Poland_Saudi Arabia,22,Poland,Saudi Arabia,442,LEWANDOWSKI Robert,9,FW,10845,5202.3,3619,1057.4,635.5,330.8,91,48,33.6,54,38,20,49,32,42,41,39,51,41,36,49,38,27,37,34,26,18
Poland 0 - 2 Argentina,Poland_Argentina,39,Poland,Argentina,442,ZIELINSKI Piotr,20,WG,11983.4,3684.9,6257.7,1402.1,498.5,140.2,134,41,30.1,44,38,22,52,36,33,42,33,49,42,33,44,37,26,35,32,24,20
Korea Republic 2 - 1 Portugal,Portugal_Korea Republic,46,Portugal,Korea Republic,433,ANTONIO SILVA,24,CD,9559.2,3647.8,4478.5,912.9,391,129,86,30,32,53,38,21,54,32,41,45,37,53,40,38,47,38,29,38,32,30,15
Portugal 3 - 2 Ghana,Portugal_Ghana,15,Portugal,Ghana,433,BRUNO FERNANDES,8,WG,11594.6,3765.9,5270.9,1563,740.9,253.9,141,58,34,56,39,21,54,31,41,43,35,55,40,36,48,38,28,37,35,31,19
Portugal 3 - 2 Ghana,Portugal_Ghana,15,Portugal,Ghana,433,DANILO PEREIRA,13,CD,9277.9,4051.6,3619.3,983.5,515.8,106.7,81,35,30.4,56,39,21,54,31,41,43,35,55,40,36,48,38,28,37,35,31,19
Korea Republic 2 - 1 Portugal,Portugal_Korea Republic,46,Portugal,Korea Republic,433,DIOGO DALOT,2,FB,10155.5,4178,3696.6,1064.3,775.9,440.8,114,65,32.1,53,38,21,54,32,41,45,37,53,40,38,47,38,29,38,32,30,15
Portugal 6 - 1 Switzerland,Portugal_Switzerland,56,Portugal,Switzerland,433,DIOGO DALOT,2,FB,10035.8,4138.8,3520.6,1353.8,666.4,356.3,119,50,34.5,55,39,20,51,36,37,40,40,50,40,36,47,38,27,38,34,24,17
Portugal 3 - 2 Ghana,Portugal_Ghana,15,Portugal,Ghana,433,JOAO CANCELO,20,FB,10763.3,4336.5,4343,1140.9,770.7,172.2,108,55,33.5,56,39,21,54,31,41,43,35,55,40,36,48,38,28,37,35,31,19
Korea Republic 2 - 1 Portugal,Portugal_Korea Republic,46,Portugal,Korea Republic,433,JOAO CANCELO,20,FB,10683,4109.8,4479.4,1193.3,641,258.5,111,52,32.7,53,38,21,54,32,41,45,37,53,40,38,47,38,29,38,32,30,15
Korea Republic 2 - 1 Portugal,Portugal_Korea Republic,46,Portugal,Korea Republic,433,PEPE,3,CD,9720.3,3888.1,3909.5,1318.1,480.2,123.4,118,34,31.2,53,38,21,54,32,41,45,37,53,40,38,47,38,29,38,32,30,15
Portugal 6 - 1 Switzerland,Portugal_Switzerland,56,Portugal,Switzerland,433,PEPE,3,CD,10469.7,3815.2,4506.2,1567.3,482.7,98.4,121,34,30.4,55,39,20,51,36,37,40,40,50,40,36,47,38,27,38,34,24,17
Portugal 3 - 2 Ghana,Portugal_Ghana,15,Portugal,Ghana,433,RAPHAEL GUERREIRO,5,FB,11105.7,3602.7,5076.4,1540.4,816.3,71.1,139,60,31.1,56,39,21,54,31,41,43,35,55,40,36,48,38,28,37,35,31,19
Portugal 6 - 1 Switzerland,Portugal_Switzerland,56,Portugal,Switzerland,433,RAPHAEL GUERREIRO,5,FB,10905.1,3647.7,5062.1,1344.6,568.2,282.4,118,44,30.9,55,39,20,51,36,37,40,40,50,40,36,47,38,27,38,34,24,17
Korea Republic 2 - 1 Portugal,Portugal_Korea Republic,46,Portugal,Korea Republic,433,RICARDO HORTA,21,WG,12191.5,4002.5,5217.9,1780,886.3,303.6,152,65,31.6,53,38,21,54,32,41,45,37,53,40,38,47,38,29,38,32,30,15
Portugal 3 - 2 Ghana,Portugal_Ghana,15,Portugal,Ghana,433,RUBEN DIAS,4,CD,10502,4034.9,4767.9,1043.9,471.5,183.8,98,33,32.5,56,39,21,54,31,41,43,35,55,40,36,48,38,28,37,35,31,19
Portugal 6 - 1 Switzerland,Portugal_Switzerland,56,Portugal,Switzerland,433,RUBEN DIAS,4,CD,10666,3572,5537.8,1127.4,356.2,73.6,93,24,31.4,55,39,20,51,36,37,40,40,50,40,36,47,38,27,38,34,24,17
Portugal 6 - 1 Switzerland,Portugal_Switzerland,56,Portugal,Switzerland,433,WILLIAM CARVALHO,14,CM,11475.4,4073.8,4878.2,2020.8,467,34.4,161,33,30.4,55,39,20,51,36,37,40,40,50,40,36,47,38,27,38,34,24,17
Saudi Arabia 1 - 2 Mexico,Saudi Arabia_Mexico,40,Saudi Arabia,Mexico,442,ABDULELAH ALAMRI,4,CD,9868.2,3895,3520,1293.7,743.1,417.4,127,64,32.7,49,40,16,49,31,42,41,36,53,40,33,49,39,24,39,36,26,18
Saudi Arabia 1 - 2 Mexico,Saudi Arabia_Mexico,40,Saudi Arabia,Mexico,442,FERAS ALBRIKAN,9,WG,10436.6,4361.4,4052.5,1030.1,595.9,396.6,100,60,33.8,49,40,16,49,31,42,41,36,53,40,33,49,39,24,39,36,26,18
Saudi Arabia 1 - 2 Mexico,Saudi Arabia_Mexico,40,Saudi Arabia,Mexico,442,HASSAN ALTAMBAKTI,17,CD,10047.1,3713.4,3967.6,1238.8,764.6,362.7,120,61,34.1,49,40,16,49,31,42,41,36,53,40,33,49,39,24,39,36,26,18
Saudi Arabia 1 - 2 Mexico,Saudi Arabia_Mexico,40,Saudi Arabia,Mexico,442,MOHAMED KANNO,23,FW,9921.9,4520.4,3291.1,1415.8,445.5,249,112,42,32.5,49,40,16,49,31,42,41,36,53,40,33,49,39,24,39,36,26,18
Saudi Arabia 1 - 2 Mexico,Saudi Arabia_Mexico,40,Saudi Arabia,Mexico,442,SALEM ALDAWSARI,10,WG,10390.6,4253.9,3514.1,1334.2,860.3,428.1,131,69,33,49,40,16,49,31,42,41,36,53,40,33,49,39,24,39,36,26,18
Saudi Arabia 1 - 2 Mexico,Saudi Arabia_Mexico,40,Saudi Arabia,Mexico,442,SAUD ABDULHAMID,12,CM,10756.6,3905.7,4063.8,1365,925.1,497,132,75,32.9,49,40,16,49,31,42,41,36,53,40,33,49,39,24,39,36,26,18
Senegal 0 - 2 Netherlands,Senegal_Netherlands,2,Senegal,Netherlands,4231,CISSE Pape Abou,4,CD,9197.8,3647.9,4101.3,943.7,332,172.9,83,32,31.7,56,42,15,55,35,39,44,37,55,38,37,47,37,26,38,35,23,18
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,DIA Boulaye,9,FW,10381.6,3524.6,4320.8,1622.6,681,231.5,141,58,34.4,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,DIALLO Abdou,22,CD,8911,3590.2,4142.7,687.9,440.2,49.9,74,29,28.3,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,GUEYE Idrissa Gana,5,FW,10677.2,3512.8,4313.6,1687,937.5,227.4,145,61,31.3,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Senegal 0 - 2 Netherlands,Senegal_Netherlands,2,Senegal,Netherlands,4231,GUEYE Idrissa Gana,5,FW,11011.5,3404.8,4640.2,1787.2,1014.2,165.2,155,67,30.5,56,42,15,55,35,39,44,37,55,38,37,47,37,26,38,35,23,18
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,GUEYE Pape,26,CM,11438.1,3496.6,5163.2,1826.7,824.7,127,136,52,29.5,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,JAKOBS Ismail,14,FB,10602.2,3464.8,4754,1211.8,834.4,336.1,113,59,33.1,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,KOULIBALY Kalidou,3,CD,8861.6,3898.2,3402,1082,329.7,148.9,100,26,30.4,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Senegal 0 - 2 Netherlands,Senegal_Netherlands,2,Senegal,Netherlands,4231,KOULIBALY Kalidou,3,CD,8634.8,3691.4,2954.8,1476.6,357.5,154.6,119,33,32.3,56,42,15,55,35,39,44,37,55,38,37,47,37,26,38,35,23,18
Senegal 0 - 2 Netherlands,Senegal_Netherlands,2,Senegal,Netherlands,4231,MENDY Nampalys,6,CM,12024.4,3517.1,5367.7,2202.9,791.2,146.7,180,55,29.5,56,42,15,55,35,39,44,37,55,38,37,47,37,26,38,35,23,18
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,SABALY Youssouf,21,FB,9833.5,3386.7,4192,1263.6,770.9,220.3,114,54,32.5,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Senegal 0 - 2 Netherlands,Senegal_Netherlands,2,Senegal,Netherlands,4231,SABALY Youssouf,21,FB,10430.8,3345.2,4314.2,1528.1,977.4,266,140,69,31,56,42,15,55,35,39,44,37,55,38,37,47,37,26,38,35,23,18
Ecuador 1 - 2 Senegal,Senegal_Ecuador,35,Senegal,Ecuador,4231,SARR Ismaila,18,WG,10921.3,3933.9,4587,1167.5,830,403,106,66,33.6,51,40,18,54,35,39,43,37,53,37,34,47,38,27,37,38,23,20
Senegal 0 - 2 Netherlands,Senegal_Netherlands,2,Senegal,Netherlands,4231,SARR Ismaila,18,WG,10353.9,4090.8,4098.1,1277.7,628.5,259.9,113,48,35.3,56,42,15,55,35,39,44,37,55,38,37,47,37,26,38,35,23,18
Cameroon 3 - 3 Serbia,Serbia_Cameroon,29,Serbia,Cameroon,343,KOSTIC Filip,17,FB,10344.9,4053.1,3688,1521.7,695.2,387.9,129,46,33.6,55,42,19,55,33,43,44,37,54,40,39,48,41,31,40,35,29,14
