"Source","SS","Df","MS","F_value","Prob","Partial_Eta2","Model"
"possession_progression_area       ",4196.12263664677,1,4196.12263664677,0.110498899153992,0.764705882352941,0.000284709894391967,"zone_4 by possession_progression_area and system"
"system                            ",224532.904808637,3,74844.3016028789,1.97091783324913,0.236418948283355,0.0150103124288693,"zone_4 by possession_progression_area and system"
"possession_progression_area:system",72528.1366698924,3,24176.0455566308,0.636641645449921,0.477737035096909,0.00489837476350864,"zone_4 by possession_progression_area and system"
"Residuals                         ",14734043.4654469,388,37974.3388284714,1,NA,NA,"zone_4 by possession_progression_area and system"
"possession_third_area       ",326.820383685726,1,326.820383685726,0.00856178868750979,1,2.20659787712948e-05,"zone_4 by possession_third_area and system"
"system                      ",181747.099695364,3,60582.3665651212,1.58709017739422,0.234513274336283,0.0121225560904497,"zone_4 by possession_third_area and system"
"possession_third_area:system",22260.8255497511,3,7420.27518325035,0.194390653990708,1,0.00150076484019539,"zone_4 by possession_third_area and system"
"Residuals                   ",14810726.2977712,388,38171.9749942558,1,NA,NA,"zone_4 by possession_third_area and system"
"defensive_high_area       ",323.872190995169,1,323.872190995169,0.367331177073358,0.622950819672131,0.000945834388181009,"high_speed_runs by defensive_high_area and system"
"system                    ",866.758812417263,3,288.919604139088,0.327688456183516,0.940269749518304,0.00252727035203736,"high_speed_runs by defensive_high_area and system"
"defensive_high_area:system",2530.870249099,3,843.623416366333,0.956825535370265,0.545341614906832,0.00734380511681224,"high_speed_runs by defensive_high_area and system"
"Residuals                 ",342095.68353908,388,881.689906028558,1,NA,NA,"high_speed_runs by defensive_high_area and system"
"defensive_mid_area       ",1353.88096722956,1,1353.88096722956,1.55993282857552,0.0844036697247706,0.00400434617915894,"high_speed_runs by defensive_mid_area and system"
"system                   ",1522.78072379548,3,507.593574598493,0.584846009180901,0.764117941029485,0.00450164874647005,"high_speed_runs by defensive_mid_area and system"
"defensive_mid_area:system",7263.1529589195,3,2421.0509863065,2.78951917089347,0.0449359720605355,0.0211130710397297,"high_speed_runs by defensive_mid_area and system"
"Residuals                ",336748.996919798,388,867.909785875769,1,NA,NA,"high_speed_runs by defensive_mid_area and system"
"defensive_low_area       ",827.401975372245,1,827.401975372245,0.98207975296625,0.46218487394958,0.00252474292283579,"high_speed_runs by defensive_low_area and system"
"system                   ",1675.9801493299,3,558.660049776634,0.663098155440003,0.696798493408663,0.00510089506185613,"high_speed_runs by defensive_low_area and system"
"defensive_low_area:system",13268.4009499656,3,4422.80031665519,5.2496159928137,0,0.0390065459190661,"high_speed_runs by defensive_low_area and system"
"Residuals                ",326889.914464476,388,842.499779547618,1,NA,NA,"high_speed_runs by defensive_low_area and system"
"possession_build_area       ",4857.65155922119,1,4857.65155922119,5.58643435886347,0.0201260418784306,0.0141936659172808,"high_speed_runs by possession_build_area and system"
"system                      ",1435.80891060872,3,478.602970202908,0.550406723166512,0.691860465116279,0.00423768766534659,"high_speed_runs by possession_build_area and system"
"possession_build_area:system",1224.67339137629,3,408.224463792095,0.469469483937708,0.53525641025641,0.00361679003648789,"high_speed_runs by possession_build_area and system"
"Residuals                   ",337383.147085124,388,869.544193518361,1,NA,NA,"high_speed_runs by possession_build_area and system"
"possession_progression_area       ",80.0177081131061,1,80.0177081131061,0.0907235236841487,1,0.000233768853994811,"high_speed_runs by possession_progression_area and system"
"system                            ",1535.50379874068,3,511.834599580226,0.580314526776326,1,0.00446692504086411,"high_speed_runs by possession_progression_area and system"
"possession_progression_area:system",2319.79734525938,3,773.265781753126,0.876723391850447,0.72554347826087,0.0067331465318445,"high_speed_runs by possession_progression_area and system"
"Residuals                         ",342214.119195524,388,881.995152565783,1,NA,NA,"high_speed_runs by possession_progression_area and system"
"possession_third_area       ",298.077680055876,1,298.077680055876,0.340252872048126,0.823529411764706,0.00087617204122343,"high_speed_runs by possession_third_area and system"
"system                      ",2013.70967990065,3,671.236559966884,0.766210228520377,1,0.00588941519349831,"high_speed_runs by possession_third_area and system"
"possession_third_area:system",4648.81427054746,3,1549.60475684915,1.76885927506724,0.217171717171717,0.0134922173296582,"high_speed_runs by possession_third_area and system"
"Residuals                   ",339906.432429236,388,876.047506260918,1,NA,NA,"high_speed_runs by possession_third_area and system"
"defensive_high_area       ",25.4652386565493,1,25.4652386565493,0.133000413056723,0.432835820895522,0.000342667108736393,"sprints by defensive_high_area and system"
"system                    ",1226.98779524795,3,408.995931749318,2.1361130203737,0.15025041736227,0.0162479806496384,"sprints by defensive_high_area and system"
"defensive_high_area:system",671.249533819302,3,223.749844606434,1.16860564926926,0.351578947368421,0.00895469951159152,"sprints by defensive_high_area and system"
"Residuals                 ",74289.3376919602,388,191.467365185464,1,NA,NA,"sprints by defensive_high_area and system"
"defensive_mid_area       ",45.6388725712549,1,45.6388725712549,0.240573729516092,0.901960784313726,0.00061965117969277,"sprints by defensive_mid_area and system"
"system                   ",1266.75067106043,3,422.250223686809,2.22578484914898,0.0687872763419483,0.0169185145043436,"sprints by defensive_mid_area and system"
"defensive_mid_area:system",1731.88742062895,3,577.295806876318,3.0430682764436,0.021,0.0229879966477261,"sprints by defensive_mid_area and system"
"Residuals                ",73606.8838158922,388,189.708463443021,1,NA,NA,"sprints by defensive_mid_area and system"
"defensive_low_area       ",218.165010852337,1,218.165010852337,1.16064195388695,0.941176470588235,0.00298242378278449,"sprints by defensive_low_area and system"
"system                   ",439.733158189403,3,146.577719396468,0.779796219256059,0.388746803069054,0.00599321699460683,"sprints by defensive_low_area and system"
"defensive_low_area:system",2395.91270580447,3,798.637568601489,4.24876685976259,0.0077,0.0318064085953201,"sprints by defensive_low_area and system"
"Residuals                ",72932.0734333473,388,187.969261426153,1,NA,NA,"sprints by defensive_low_area and system"
"possession_build_area       ",605.256177645264,1,605.256177645264,3.16260782399039,0.0229025473241412,0.00808514863315733,"sprints by possession_build_area and system"
"system                      ",569.931260198331,3,189.977086732777,0.992675569570345,0.443418013856813,0.00761686464525983,"sprints by possession_build_area and system"
"possession_build_area:system",297.760559170474,3,99.2535197234912,0.518623303040572,0.54375,0.00399395832357674,"sprints by possession_build_area and system"
"Residuals                   ",74254.9851249201,388,191.378827641547,1,NA,NA,"sprints by possession_build_area and system"
"possession_progression_area       ",2.02849415416861,1,2.02849415416861,0.0105478960114834,1,2.71845599782775e-05,"sprints by possession_progression_area and system"
"system                            ",1081.02618781903,3,360.342062606344,1.87373012494235,0.0603233830845771,0.0142807107754393,"sprints by possession_progression_area and system"
"possession_progression_area:system",680.255424160396,3,226.751808053465,1.17907881905831,0.245158350421508,0.00903422747011653,"sprints by possession_progression_area and system"
"Residuals                         ",74617.3199812131,388,192.312680363951,1,NA,NA,"sprints by possession_progression_area and system"
"possession_third_area       ",7.48322250039317,1,7.48322250039317,0.0385583731958014,1,9.93673756480611e-05,"sprints by possession_third_area and system"
"system                      ",846.723590623865,3,282.241196874622,1.45428809577018,0.135922330097087,0.0111194628350857,"sprints by possession_third_area and system"
"possession_third_area:system",36.4819963667353,3,12.1606654555784,0.0626595663727555,1,0.000484246574940868,"sprints by possession_third_area and system"
"Residuals                   ",75301.1626141091,388,194.07516137657,1,NA,NA,"sprints by possession_third_area and system"
"defensive_high_area       ",8.62818521584118,1,8.62818521584118,2.50266239945648,0.0233722871452421,0.00640882288504458,"top_speed by defensive_high_area and system"
"system                    ",3.20429339367783,3,1.06809779789261,0.309808856770988,0.755522827687776,0.00238970493569721,"top_speed by defensive_high_area and system"
"defensive_high_area:system",23.6368808481121,3,7.87896028270403,2.28534473392293,0.016633064516129,0.0173633770486218,"top_speed by defensive_high_area and system"
"Residuals                 ",1337.66978097942,388,3.44760252829748,1,NA,NA,"top_speed by defensive_high_area and system"
"defensive_mid_area       ",1.08464424198542,1,1.08464424198542,0.309137500497658,1,0.00079611183627442,"top_speed by defensive_mid_area and system"
"system                   ",3.58959142449114,3,1.19653047483038,0.341026509836311,0.627118644067797,0.0026298684662778,"top_speed by defensive_mid_area and system"
"defensive_mid_area:system",18.9848864569093,3,6.32829548563642,1.80364526276308,0.355140186915888,0.013753902843212,"top_speed by defensive_mid_area and system"
"Residuals                ",1361.34233217536,388,3.50861425818391,1,NA,NA,"top_speed by defensive_mid_area and system"
"defensive_low_area       ",0.578274827020093,1,0.578274827020093,0.163561200899959,0.534090909090909,0.000421371857765147,"top_speed by defensive_low_area and system"
"system                   ",7.2450988207282,3,2.41503294024273,0.683076055643928,0.589403973509934,0.00525376803477422,"top_speed by defensive_low_area and system"
"defensive_low_area:system",7.6087356256412,3,2.53624520854707,0.717360142104734,0.632612966601179,0.00551600397455949,"top_speed by defensive_low_area and system"
"Residuals                ",1371.78396618053,388,3.5355256860323,1,NA,NA,"top_speed by defensive_low_area and system"
"possession_build_area       ",0.0582078637483365,1,0.0582078637483365,0.0163679396940673,0.745098039215686,4.21836320487677e-05,"top_speed by possession_build_area and system"
"system                      ",4.79522583582723,3,1.59840861194241,0.449469437323216,0.651741293532338,0.003463243416907,"top_speed by possession_build_area and system"
"possession_build_area:system",1.55008419038996,3,0.516694730129987,0.145293567542267,1,0.00112214325267366,"top_speed by possession_build_area and system"
"Residuals                   ",1379.81026057547,388,3.55621201179244,1,NA,NA,"top_speed by possession_build_area and system"
"possession_progression_area       ",0.257085816992812,1,0.257085816992812,0.0730698574641927,1,0.000188288915515397,"top_speed by possession_progression_area and system"
"system                            ",2.63574865848987,3,0.878582886163291,0.249713994390541,0.814713896457766,0.00192705758615939,"top_speed by possession_progression_area and system"
"possession_progression_area:system",15.4774258202305,3,5.15914194007683,1.46634991618185,0.1957805907173,0.0112106534186679,"top_speed by possession_progression_area and system"
"Residuals                         ",1365.12236994704,388,3.51835662357484,1,NA,NA,"top_speed by possession_progression_area and system"
"possession_third_area       ",3.48025097244598,1,3.48025097244598,0.992334654615199,0.637931034482759,0.00255103909822873,"top_speed by possession_third_area and system"
"system                      ",4.15540266316977,3,1.38513422105659,0.394947576979441,0.631004366812227,0.00304442157259825,"top_speed by possession_third_area and system"
"possession_third_area:system",20.376227308257,3,6.79207576941899,1.93664543624268,1,0.0147531480875925,"top_speed by possession_third_area and system"
"Residuals                   ",1360.76813505285,388,3.50713436869291,1,NA,NA,"top_speed by possession_third_area and system"
