"system_1","system_2","Slope_1","Slope_2","Slope_Diff","P_value","Effect_Size","Significant","Model"
"442","4231",0.000366075466217845,-0.0234265060317448,0.0237925814979627,0.2416,1.17657758012876,FALSE,"sprints by defensive_mid_area and system"
"442","343",0.000366075466217845,0.0232832169132828,-0.0229171414470649,0.1416,-1.47374604217385,FALSE,"sprints by defensive_mid_area and system"
"4231","343",-0.0234265060317448,0.0232832169132828,-0.0467097229450276,0.0016,-3.12380058197179,TRUE,"sprints by defensive_mid_area and system"
"433","442",-0.0201420694562075,0.0246199777917903,-0.0447620472479978,0.0177,-2.33593225688252,TRUE,"sprints by defensive_low_area and system"
"433","4231",-0.0201420694562075,-0.0103887484726055,-0.00975332098360204,0.4824,-0.697750835567059,FALSE,"sprints by defensive_low_area and system"
"433","343",-0.0201420694562075,0.0332784136963166,-0.0534204831525241,0.0046,-2.87401054580661,TRUE,"sprints by defensive_low_area and system"
"442","4231",0.0246199777917903,-0.0103887484726055,0.0350087262643957,0.0209,2.26349634942875,TRUE,"sprints by defensive_low_area and system"
"442","343",0.0246199777917903,0.0332784136963166,-0.00865843590452633,0.6547,-0.448627839433445,FALSE,"sprints by defensive_low_area and system"
"4231","343",-0.0103887484726055,0.0332784136963166,-0.0436671621689221,0.0036,-2.9237585755859,TRUE,"sprints by defensive_low_area and system"
"433","442",0.00094756374079239,-0.00651025360746925,0.00745781734826164,0.0238,2.26645865028587,TRUE,"top_speed by defensive_high_area and system"
"433","4231",0.00094756374079239,-0.00281380842441621,0.0037613721652086,0.1048,1.63188531321322,FALSE,"top_speed by defensive_high_area and system"
"433","343",0.00094756374079239,-0.00146163454858287,0.00240919828937526,0.38,0.880859665960828,FALSE,"top_speed by defensive_high_area and system"
"442","4231",-0.00651025360746925,-0.00281380842441621,-0.00369644518305304,0.1942,-1.30238288521603,FALSE,"top_speed by defensive_high_area and system"
"442","343",-0.00651025360746925,-0.00146163454858287,-0.00504861905888638,0.1364,-1.47473830146595,FALSE,"top_speed by defensive_high_area and system"
"4231","343",-0.00281380842441621,-0.00146163454858287,-0.00135217387583334,0.6041,-0.533474205636626,FALSE,"top_speed by defensive_high_area and system"
