"system","Slope","R_squared","f2","p_value","Model"
"343",-1.77264110461381,0.00275271535523121,0.00276031371317472,0.654840237526974,"total_distance by defensive_high_area and system"
"433",-2.88483910438356,0.0449308245806704,0.0470445761805088,0.0158852746631778,"total_distance by defensive_high_area and system"
"442",1.32202245937763,0.0183365005277275,0.0186790081709108,0.270889285761365,"total_distance by defensive_high_area and system"
"4231",0.798827250682453,0.00725901674385171,0.00731209536655014,0.346782220113158,"total_distance by defensive_high_area and system"
"343",-0.0271546219707472,9.18365181946337e-06,9.18373615969866e-06,0.979413868677522,"total_distance by defensive_mid_area and system"
"433",-0.935104840172665,0.00573275663183158,0.00576581062090646,0.393763853439071,"total_distance by defensive_mid_area and system"
"442",-0.824261002570199,0.0094812534003191,0.00957200803403972,0.429562207388734,"total_distance by defensive_mid_area and system"
"4231",-0.437403659576478,0.00147794476496015,0.00148013231877213,0.671627113728892,"total_distance by defensive_mid_area and system"
"343",0.370252960999836,0.000870909331002997,0.0008716684752116,0.801554057773371,"total_distance by defensive_low_area and system"
"433",-2.99004052683524,0.0848862706735245,0.0927603509303711,0.000808402282230818,"total_distance by defensive_low_area and system"
"442",-2.25001795938871,0.0602097505198486,0.0640672219712365,0.0437098394596168,"total_distance by defensive_low_area and system"
"4231",0.214883488122545,0.000668867879725542,0.000669315563407305,0.775549614110202,"total_distance by defensive_low_area and system"
"343",0.239829384968455,0.00125476152046828,0.00125633792495322,0.76287233954326,"total_distance by possession_build_area and system"
"433",-1.14391008226382,0.0123589518135993,0.012513606878019,0.20974760868867,"total_distance by possession_build_area and system"
"442",0.516400210826709,0.00772741833450319,0.00778759634931459,0.475949945503313,"total_distance by possession_build_area and system"
"4231",0.136145100818614,0.000304080182418352,0.000304172675300945,0.847563464747002,"total_distance by possession_build_area and system"
"343",0.618749932298251,0.00162190644962504,0.00162454130364311,0.73155724341667,"total_distance by possession_progression_area and system"
"433",-1.22722993442132,0.0123685344122343,0.0125234308982587,0.209569911968464,"total_distance by possession_progression_area and system"
"442",0.451879218429652,0.00521171944499963,0.00523902376703913,0.558521057109568,"total_distance by possession_progression_area and system"
"4231",-0.69368619354459,0.00734880304328989,0.00740320775899933,0.343806343809478,"total_distance by possession_progression_area and system"
"343",1.72241545085678,0.0128973968204613,0.0130659130863577,0.331976371094125,"total_distance by possession_third_area and system"
"433",-1.03695834669591,0.00814800076206995,0.00821493606740754,0.308997696140095,"total_distance by possession_third_area and system"
"442",2.28587343686742,0.0388807917325133,0.0404536621451982,0.107021377221541,"total_distance by possession_third_area and system"
"4231",-0.572167786348612,0.00254491599569721,0.00255140911757208,0.577923099549067,"total_distance by possession_third_area and system"
"343",0.0137975236943193,2.3764855631017e-05,2.37654204128021e-05,0.96688996041089,"zone_5 by defensive_high_area and system"
"433",-0.0252977805054506,0.000284521032013121,0.000284602007269942,0.849521034586162,"zone_5 by defensive_high_area and system"
"442",-0.242346557411141,0.0312244715469512,0.0322308632184493,0.14944407327929,"zone_5 by defensive_high_area and system"
